steps,avg_reward
4750000,-2911.800048828125
4760000,-3001.89990234375
4770000,-1143.0999755859375
4780000,-2866.199951171875
4790000,-2098.39990234375
4800000,-1497.0
4810000,-1694.5999755859375
4820000,-4044.10009765625
4830000,-1693.199951171875
4840000,-2344.699951171875
4850000,-1170.5999755859375
4860000,-2114.800048828125
4870000,-3462.39990234375
4880000,-1056.199951171875
4890000,-923.2999877929688
4900000,-2365.89990234375
4910000,-31954.400390625
4920000,-1900.0
4930000,-4408.7998046875
4940000,-13155.900390625
4950000,-1311.9000244140625
4960000,-2472.199951171875
4970000,-12784.599609375
4980000,-2339.10009765625
4990000,-1621.4000244140625
5000000,-2942.5
5010000,-3096.300048828125
5020000,-1296.4000244140625
5030000,-2708.300048828125
5040000,-1915.5
5050000,-949.9000244140625
5060000,-1230.9000244140625
5070000,-942.2000122070312
5080000,-8656.400390625
5090000,-4642.7001953125
5100000,-1011.7999877929688
5110000,-923.2999877929688
5120000,-12457.7001953125
5130000,-456.6000061035156
5140000,-5969.89990234375
5150000,-1390.5
5160000,-1554.0
5170000,-1843.9000244140625
5180000,-1636.300048828125
5190000,-1275.699951171875
5200000,-5184.60009765625
5210000,-2074.10009765625
5220000,-1188.5
5230000,-955.4000244140625
5240000,-945.5999755859375
5250000,-2011.699951171875
5260000,-667.7000122070312
5270000,-1752.800048828125
5280000,-1891.5999755859375
5290000,-936.5999755859375
5300000,-770.5999755859375
5310000,-1036.199951171875
5320000,-13022.400390625
5330000,-4039.300048828125
5340000,-1717.199951171875
5350000,-934.7000122070312
5360000,-5282.10009765625
5370000,-912.9000244140625
5380000,-1645.300048828125
5390000,-4031.699951171875
5400000,-2466.699951171875
5410000,-28053.69921875
5420000,-2584.10009765625
5430000,-1257.4000244140625
5440000,-943.7999877929688
5450000,-9028.2001953125
5460000,-1313.5999755859375
5470000,-4451.10009765625
5480000,-1197.0999755859375
5490000,-3112.39990234375
5500000,-11115.2998046875
5510000,-707.7999877929688
5520000,-944.0
5530000,-17236.19921875
5540000,-1581.199951171875
5550000,-1347.199951171875
5560000,-955.7999877929688
5570000,-916.9000244140625
5580000,-676.4000244140625
5590000,-1490.699951171875
5600000,-653.0
5610000,-1386.0999755859375
5620000,-3470.60009765625
5630000,-16209.7001953125
5640000,-4803.2001953125
5650000,-3145.300048828125
5660000,-954.4000244140625
5670000,-21525.400390625
5680000,-24674.400390625
5690000,-14699.0
5700000,-1822.0
5710000,-14966.5
5720000,-3741.699951171875
5730000,-3712.699951171875
5740000,-2225.0
5750000,-8547.599609375
5760000,-1645.5999755859375
5770000,-1321.699951171875
5780000,-3235.10009765625
5790000,-3017.60009765625
5800000,-1261.300048828125
5810000,-1164.199951171875
5820000,-11859.7001953125
5830000,-22036.099609375
5840000,-9673.7001953125
5850000,-1786.0999755859375
5860000,-917.0
5870000,-1453.0999755859375
5880000,-895.7999877929688
5890000,-5501.2001953125
5900000,-3484.199951171875
5910000,-2986.39990234375
5920000,-1345.699951171875
5930000,-1264.4000244140625
5940000,-943.0
5950000,-2127.60009765625
5960000,-1335.199951171875
5970000,-3771.10009765625
5980000,-4700.89990234375
5990000,-1064.9000244140625
6000000,-946.5
6010000,-11156.7001953125
6020000,-1944.0999755859375
6030000,-1185.9000244140625
6040000,-4622.10009765625
6050000,-1815.300048828125
6060000,-15751.099609375
6070000,-13748.599609375
6080000,-3100.0
6090000,-1794.300048828125
6100000,-1486.9000244140625
6110000,-3585.60009765625
6120000,-23125.0
6130000,-723.7999877929688
6140000,-664.2999877929688
6150000,-1117.5999755859375
6160000,-3411.10009765625
6170000,-4941.89990234375
6180000,-11983.0
6190000,-1452.0999755859375
6200000,-2771.199951171875
6210000,-38888.30078125
6220000,-7639.60009765625
6230000,-6354.60009765625
6240000,-19991.599609375
6250000,-955.5
6260000,-1078.5
6270000,-657.5999755859375
6280000,-18493.19921875
6290000,-4718.89990234375
6300000,-20721.69921875
6310000,-4932.2001953125
6320000,-2035.0
6330000,-1058.0999755859375
6340000,-3354.10009765625
6350000,-1461.4000244140625
6360000,-5104.2998046875
6370000,-955.0
6380000,-2048.300048828125
6390000,-1654.300048828125
6400000,-19169.400390625
6410000,-27792.80078125
6420000,-1068.0999755859375
6430000,-4470.2998046875
6440000,-1022.5999755859375
6450000,-1036.0999755859375
6460000,-1585.4000244140625
6470000,-2402.60009765625
6480000,-3078.800048828125
